Study_Hours,Attendance,Previous_Marks,Coaching_Class,Sleep_Hours,Sports_Activity,Learning_Resources,Internet_Access,Peer_Influence,Parent_Education,Distance_From_School,Gender,Concept_Clarity,Explanation_Quality,Student_Interaction,Lab_Facility,Lab_Timing
35,94,90,1,7,4,5,1,High,Graduate,3,Male,Excellent,Excellent,Excellent,5,3
33,88,84,1,6,3,4,1,High,Graduate,5,Female,Excellent,Good,Excellent,4,2
14,57,39,0,5,1,2,1,Low,School,12,Male,Average,Average,Average,2,1
15,69,49,0,6,2,3,1,Medium,School,10,Female,Average,Average,Good,3,2
10,42,28,0,4,0,1,0,Low,None,18,Male,Poor,Poor,Poor,1,0
38,96,93,1,8,5,5,1,High,Postgraduate,2,Female,Excellent,Excellent,Excellent,5,3
28,81,76,1,7,3,4,1,Medium,Graduate,4,Male,Good,Good,Good,4,2
18,62,55,0,6,2,3,1,Medium,School,9,Female,Average,Good,Average,3,1
12,50,35,0,5,1,2,0,Low,None,15,Male,Poor,Average,Poor,2,0
40,98,97,1,8,5,5,1,High,Postgraduate,1,Female,Excellent,Excellent,Excellent,5,3
26,79,72,1,7,3,4,1,Medium,Graduate,6,Male,Good,Good,Good,4,2
22,74,68,1,6,2,3,1,Medium,School,7,Female,Good,Average,Good,3,2
16,60,52,0,6,2,2,1,Low,School,11,Male,Average,Average,Average,2,1
9,38,22,0,4,0,1,0,Low,None,20,Female,Poor,Poor,Poor,1,0
31,90,86,1,7,4,5,1,High,Graduate,3,Male,Excellent,Excellent,Good,5,3
27,83,75,1,7,3,4,1,Medium,Graduate,5,Female,Good,Good,Good,4,2
19,66,58,0,6,2,3,1,Medium,School,8,Male,Average,Average,Good,3,1
13,54,41,0,5,1,2,0,Low,None,14,Female,Poor,Average,Average,2,0
37,95,92,1,8,5,5,1,High,Postgraduate,2,Male,Excellent,Excellent,Excellent,5,3
29,85,78,1,7,3,4,1,Medium,Graduate,4,Female,Good,Good,Good,4,2
21,71,64,1,6,2,3,1,Medium,School,7,Male,Good,Average,Average,3,1
17,63,56,0,6,2,3,1,Medium,School,10,Female,Average,Average,Average,2,1
11,45,30,0,5,1,1,0,Low,None,17,Male,Poor,Poor,Poor,1,0
39,97,95,1,8,5,5,1,High,Postgraduate,1,Female,Excellent,Excellent,Excellent,5,3
30,87,81,1,7,4,4,1,High,Graduate,3,Male,Excellent,Good,Excellent,4,2
24,76,70,1,6,3,3,1,Medium,Graduate,6,Female,Good,Good,Good,3,2
18,61,53,0,6,2,2,1,Low,School,12,Male,Average,Average,Average,2,1
8,35,20,0,4,0,1,0,Low,None,21,Female,Poor,Poor,Poor,1,0
34,92,88,1,7,4,5,1,High,Graduate,2,Male,Excellent,Excellent,Excellent,5,3
25,78,73,1,7,3,4,1,Medium,Graduate,5,Female,Good,Good,Good,4,2
20,68,61,0,6,2,3,1,Medium,School,9,Male,Average,Good,Average,3,1
14,52,38,0,5,1,2,0,Low,None,15,Female,Poor,Average,Poor,2,0
36,94,91,1,8,5,5,1,High,Postgraduate,2,Male,Excellent,Excellent,Excellent,5,3
28,82,77,1,7,3,4,1,Medium,Graduate,4,Female,Good,Good,Good,4,2
22,73,67,1,6,2,3,1,Medium,School,8,Male,Good,Average,Good,3,2
15,58,47,0,5,1,2,1,Low,School,13,Female,Average,Average,Average,2,1
10,40,25,0,4,0,1,0,Low,None,19,Male,Poor,Poor,Poor,1,0
38,96,94,1,8,5,5,1,High,Postgraduate,1,Female,Excellent,Excellent,Excellent,5,3
27,84,79,1,7,3,4,1,Medium,Graduate,4,Male,Good,Good,Good,4,2
19,67,60,0,6,2,3,1,Medium,School,9,Female,Average,Good,Average,3,1
13,55,42,0,5,1,2,0,Low,None,16,Male,Poor,Average,Poor,2,0
35,93,89,1,7,4,5,1,High,Graduate,2,Female,Excellent,Excellent,Excellent,5,3
26,80,74,1,7,3,4,1,Medium,Graduate,5,Male,Good,Good,Good,4,2
21,70,63,0,6,2,3,1,Medium,School,8,Female,Average,Average,Good,3,1
16,59,50,0,5,1,2,1,Low,School,12,Male,Average,Average,Average,2,1
9,37,18,0,4,0,1,0,Low,None,22,Female,Poor,Poor,Poor,1,0
40,99,98,1,8,5,5,1,High,Postgraduate,1,Male,Excellent,Excellent,Excellent,5,3
32,89,83,1,7,4,4,1,High,Graduate,3,Female,Excellent,Good,Excellent,4,2
23,75,69,1,6,3,3,1,Medium,Graduate,6,Male,Good,Good,Good,3,2
17,64,57,0,6,2,2,1,Medium,School,10,Female,Average,Average,Average,2,1
12,48,33,0,5,1,1,0,Low,None,18,Male,Poor,Poor,Poor,1,0